libelle_unite;type_materiel;code_unite_terminal_de_saisie
CIC BDRIJ GGD32;Scanner;19959
BP de Condom;Scanner;02258
BP de l'Isle-Jourdain;Scanner;02249
BP de Fleurance;Bloc optique;02262
CIC BDRIJ GGD33;Scanner;19704
BTA de Blaye;Scanner;01414
BTA de Lacanau;Scanner;05570
BTA  d'Ambarès-et-Lagrave;Bloc optique;01424
BTA  de Langon-Toulenne;Bloc optique;01436
BTA  de Lesparre-Médoc;Bloc optique;01452
BTA  de Libourne;Bloc optique;01465
BTA de Saint-André-de-Cubzac;Bloc optique;01433
BTA de Blanquefort;Bloc optique;01402
BTA de Saint-Médard-en-Jalles;Bloc optique;01409
BTA de Gujan-Mestras;Bloc optique;05603
BTA de Bourg;Bloc optique;01415
BP de Saint-Savin;Bloc optique;01419
BTA de Carbon Blanc;Bloc optique;01426
CIC BDRIJ GGD34;Scanner;20656
BTA de Palavas les Flots;Scanner;14888
BP de Marseillan;Scanner;04662
BP de Clermont-l'Hérault;Scanner;04655
BTA de Balaruc-les-Bains;Scanner;04665
BP de Bédarieux;Bloc optique;04637
BTA  de Castelnau-le-Lez;Bloc optique;04623
BTA  de Valras-Plage;Bloc optique;04649
BTA  de Lunel;Bloc optique;04628
BTA  de Pézenas;Bloc optique;04642
BTA de Castries;Bloc optique;04624
PA de Poussan;Bloc optique;08342
BTA de Saint-Georges-d'Orques;Bloc optique;07192
BTA de Saint-Jean-de-Védas;Bloc optique;17444
BTA de Capestang;Bloc optique;04638
BTA de Mèze;Bloc optique;04666
BTA de Jacou Clapiers;Bloc optique;15884
CIC BDRIJ GGD35;Scanner;19500
BP Fougères;Scanner;00690
BTA de Mordelles;Scanner;00683
BP de Bain de Bretagne;Scanner;00699
BP de Montfort-sur-Meu;Bloc optique;00682
BP de Vitré;Bloc optique;00720
BTA  de Pacé;Bloc optique;10048
BP de Redon;Bloc optique;00697
BTA de Bruz;Bloc optique;00678
BTA de Vern-sur-Seiche;Bloc optique;10930
BTA de St Aubin du Cormier;Bloc optique;00693
CIC BDRIJ GGD36;Scanner;20826
BP d'Argenton-sur-Creuse;Scanner;05456
BP de Buzançais;Scanner;05457
BP d'Issoudun;Bloc optique;05480
CIC BDRIJ GGD37;Scanner;20843
BP de Chambray-lès-Tours;Scanner;07456
BP de Montlouis-sur-Loire;Scanner;07970
BP Ste Maure de Touraine;Scanner;05516
PMO de Chambray-lès-Tours;Scanner;17731
BTA  d'Amboise;Bloc optique;05494
BP  de Chinon;Bloc optique;05509
BP de Loches;Bloc optique;05519
CIC BDRIJ GGD38;Scanner;20112
BTA de La-Verpillière;Scanner;02802
BTA de La-Tour-du-Pin;Scanner;02775
BP de Meylan;Scanner;09403
BP de Saint Marcellin;Bloc optique;02754
BTA  du Pont-de-Claix;Bloc optique;02726
BTA  de Villefontaine;Bloc optique;10068
BTA  de Roussillon;Bloc optique;02800
BTA de Pont-de-Chéruy;Bloc optique;02799
BTA d'Eybens;Bloc optique;02724
BTA de Seyssinet-Pariset;Bloc optique;08514
BTA de l'Isle-d'Abeau;Bloc optique;10523
BP de Morestel;Bloc optique;02772
BTA de Vizille;Bloc optique;02751
BP de Renage;Bloc optique;26751
BP de Beaurepaire;Bloc optique;02796
BP de Saint-Clair-du-Rhône;Bloc optique;09855
BTA de St Egrève;Bloc optique;02728
CIC BDRIJ GGD39;Scanner;20503
